Jam,Menit,Hari_Jumat,Hari_Kamis,Hari_Minggu,Hari_Rabu,Hari_Sabtu,Hari_Selasa,Hari_Senin,Motor,Mobil,Bus,Truk,Total_Kendaraan,Label_S1,Label_S2
6,40,0,0,0,0,0,0,1,676,153,5,1,835,Rendah,Sedang
6,50,0,0,0,0,0,0,1,866,141,9,1,1017,Rendah,Rendah
7,10,0,0,0,0,0,0,1,647,118,7,5,777,Sedang,Sedang
7,20,0,0,0,0,0,0,1,687,137,12,0,836,Tinggi,Tinggi
7,30,0,0,0,0,0,0,1,300,69,4,3,376,Rendah,Rendah
8,20,0,0,0,0,0,0,1,821,146,6,4,977,Rendah,Rendah
8,30,0,0,0,0,0,0,1,624,189,10,2,825,Tinggi,Tinggi
8,40,0,0,0,0,0,0,1,585,170,13,4,772,Rendah,Sedang
8,50,0,0,0,0,0,0,1,614,152,5,5,776,Sedang,Sedang
15,10,0,0,0,0,0,0,1,587,262,24,10,883,Rendah,Sedang
15,20,0,0,0,0,0,0,1,680,264,10,6,960,Rendah,Sedang
15,30,0,0,0,0,0,0,1,733,290,7,8,1038,Rendah,Sedang
15,40,0,0,0,0,0,0,1,869,285,5,4,1163,Rendah,Sedang
15,50,0,0,0,0,0,0,1,776,267,11,6,1060,Rendah,Sedang
15,60,0,0,0,0,0,0,1,723,283,13,5,1024,Rendah,Sedang
16,10,0,0,0,0,0,0,1,759,274,11,6,1050,Rendah,Sedang
16,20,0,0,0,0,0,0,1,719,276,13,6,1014,Rendah,Sedang
16,30,0,0,0,0,0,0,1,596,290,7,6,899,Sedang,Sedang
16,40,0,0,0,0,0,0,1,800,290,4,6,1100,Rendah,Sedang
16,50,0,0,0,0,0,0,1,799,250,3,3,1055,Rendah,Sedang
16,60,0,0,0,0,0,0,1,308,189,1,4,502,Sedang,Sedang
17,10,0,0,0,0,0,0,1,91,278,4,0,373,Tinggi,Tinggi
17,20,0,0,0,0,0,0,1,201,267,8,3,479,Tinggi,Tinggi
17,30,0,0,0,0,0,0,1,83,223,1,0,307,Tinggi,Tinggi
17,40,0,0,0,0,0,0,1,81,227,1,0,309,Tinggi,Tinggi
17,50,0,0,0,0,0,0,1,28,167,1,0,196,Tinggi,Tinggi
17,60,0,0,0,0,0,0,1,4,123,0,0,127,Tinggi,Tinggi
18,10,0,0,0,0,0,0,1,4,101,2,0,107,Tinggi,Tinggi
18,20,0,0,0,0,0,0,1,7,97,0,0,104,Sedang,Sedang
18,30,0,0,0,0,0,0,1,14,110,1,0,125,Tinggi,Tinggi
18,40,0,0,0,0,0,0,1,19,95,2,0,116,Tinggi,Tinggi
18,50,0,0,0,0,0,0,1,7,81,2,0,90,Tinggi,Tinggi
18,60,0,0,0,0,0,0,1,4,76,2,0,82,Tinggi,Tinggi
19,10,0,0,0,0,0,0,1,7,109,0,0,116,Tinggi,Tinggi
19,20,0,0,0,0,0,0,1,10,123,3,0,136,Tinggi,Tinggi
19,30,0,0,0,0,0,0,1,8,93,1,0,102,Tinggi,Tinggi
19,40,0,0,0,0,0,0,1,2,89,0,0,91,Tinggi,Tinggi
19,50,0,0,0,0,0,0,1,1,86,2,0,89,Tinggi,Tinggi
19,60,0,0,0,0,0,0,1,4,104,1,0,109,Tinggi,Tinggi
7,10,0,0,0,0,0,1,0,675,115,5,1,796,Rendah,Sedang
8,10,0,0,0,0,0,1,0,572,137,9,2,720,Sedang,Sedang
8,20,0,0,0,0,0,1,0,400,143,12,0,555,Sedang,Sedang
15,10,0,0,0,0,0,1,0,672,255,11,11,949,Rendah,Sedang
15,20,0,0,0,0,0,1,0,613,269,9,5,896,Rendah,Sedang
15,30,0,0,0,0,0,1,0,118,233,5,7,363,Rendah,Sedang
15,40,0,0,0,0,0,1,0,165,265,9,6,445,Rendah,Sedang
15,50,0,0,0,0,0,1,0,267,309,9,5,590,Rendah,Sedang
15,60,0,0,0,0,0,1,0,399,251,3,10,663,Rendah,Sedang
16,10,0,0,0,0,0,1,0,552,236,10,9,807,Rendah,Sedang
16,20,0,0,0,0,0,1,0,279,288,4,5,576,Rendah,Sedang
17,20,0,0,0,0,0,1,0,284,217,11,2,514,Tinggi,Tinggi
17,30,0,0,0,0,0,1,0,382,276,4,4,666,Tinggi,Tinggi
17,40,0,0,0,0,0,1,0,162,266,2,1,431,Tinggi,Tinggi
17,50,0,0,0,0,0,1,0,78,273,2,0,353,Tinggi,Tinggi
17,60,0,0,0,0,0,1,0,39,218,3,0,260,Tinggi,Tinggi
18,10,0,0,0,0,0,1,0,30,110,0,0,140,Tinggi,Tinggi
18,20,0,0,0,0,0,1,0,12,68,0,0,80,Sedang,Sedang
18,30,0,0,0,0,0,1,0,18,75,2,0,95,Tinggi,Tinggi
18,40,0,0,0,0,0,1,0,19,86,0,0,105,Tinggi,Tinggi
18,50,0,0,0,0,0,1,0,12,96,1,0,109,Tinggi,Tinggi
18,60,0,0,0,0,0,1,0,19,99,2,0,120,Tinggi,Tinggi
19,10,0,0,0,0,0,1,0,17,63,1,0,81,Tinggi,Tinggi
19,20,0,0,0,0,0,1,0,17,88,2,0,107,Tinggi,Tinggi
19,30,0,0,0,0,0,1,0,19,102,0,0,121,Tinggi,Tinggi
19,40,0,0,0,0,0,1,0,20,74,1,0,95,Tinggi,Tinggi
19,50,0,0,0,0,0,1,0,21,107,3,0,131,Tinggi,Tinggi
7,10,0,0,0,1,0,0,0,677,125,8,2,812,Tinggi,Tinggi
7,20,0,0,0,1,0,0,0,690,156,10,4,860,Sedang,Sedang
7,30,0,0,0,1,0,0,0,625,128,13,1,767,Sedang,Sedang
7,40,0,0,0,1,0,0,0,647,134,9,1,791,Sedang,Sedang
7,50,0,0,0,1,0,0,0,740,131,11,4,886,Sedang,Sedang
7,60,0,0,0,1,0,0,0,677,156,7,2,842,Sedang,Sedang
8,10,0,0,0,1,0,0,0,574,143,15,5,737,Sedang,Sedang
8,20,0,0,0,1,0,0,0,653,136,6,2,797,Sedang,Sedang
8,50,0,0,0,1,0,0,0,609,149,11,9,778,Sedang,Sedang
8,60,0,0,0,1,0,0,0,626,171,6,6,809,Sedang,Sedang
16,50,0,0,0,1,0,0,0,772,262,7,5,1046,Sedang,Sedang
17,10,0,0,0,1,0,0,0,849,260,5,5,1119,Rendah,Sedang
17,20,0,0,0,1,0,0,0,614,250,7,6,877,Tinggi,Tinggi
6,10,0,1,0,0,0,0,0,344,76,4,1,425,Rendah,Rendah
6,20,0,1,0,0,0,0,0,453,85,4,1,543,Rendah,Rendah
6,30,0,1,0,0,0,0,0,514,114,6,1,635,Rendah,Rendah
6,40,0,1,0,0,0,0,0,559,128,4,2,693,Rendah,Rendah
6,50,0,1,0,0,0,0,0,741,126,5,1,873,Sedang,Sedang
6,60,0,1,0,0,0,0,0,759,155,4,1,919,Sedang,Sedang
7,10,0,1,0,0,0,0,0,678,131,6,0,815,Sedang,Sedang
7,20,0,1,0,0,0,0,0,647,144,8,1,800,Tinggi,Tinggi
7,30,0,1,0,0,0,0,0,636,147,8,2,793,Tinggi,Tinggi
7,40,0,1,0,0,0,0,0,595,119,11,1,726,Tinggi,Tinggi
7,50,0,1,0,0,0,0,0,588,133,7,3,731,Tinggi,Tinggi
7,60,0,1,0,0,0,0,0,559,142,7,1,709,Sedang,Sedang
8,50,0,1,0,0,0,0,0,535,145,13,1,694,Sedang,Sedang
8,60,0,1,0,0,0,0,0,565,206,5,6,782,Tinggi,Tinggi
15,10,0,1,0,0,0,0,0,616,242,16,5,879,Rendah,Rendah
16,10,0,1,0,0,0,0,0,859,349,9,2,1219,Rendah,Sedang
16,20,0,1,0,0,0,0,0,917,288,9,7,1221,Rendah,Sedang
17,60,0,1,0,0,0,0,0,9,144,1,0,154,Tinggi,Tinggi
18,10,0,1,0,0,0,0,0,18,128,0,0,146,Tinggi,Tinggi
18,20,0,1,0,0,0,0,0,16,91,1,0,108,Tinggi,Tinggi
18,30,0,1,0,0,0,0,0,36,92,0,0,128,Tinggi,Tinggi
18,40,0,1,0,0,0,0,0,49,120,0,0,169,Tinggi,Tinggi
18,50,0,1,0,0,0,0,0,67,113,2,0,182,Tinggi,Tinggi
18,60,0,1,0,0,0,0,0,73,129,3,0,205,Tinggi,Tinggi
19,10,0,1,0,0,0,0,0,63,123,2,0,188,Tinggi,Tinggi
