param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,CV_Accuracy,CV_Accuracy_std,CV_Precision,CV_Precision_std,CV_Recall,CV_Recall_std,CV_F1_weighted,CV_F1_weighted_std,Rank,Fit_Time_sec
10,1,2,200,0.7161,0.0314,0.7218,0.0291,0.7161,0.0314,0.7166,0.0332,1,0.2947
10,1,2,100,0.7162,0.0397,0.7209,0.0368,0.7162,0.0397,0.7162,0.0408,2,0.1496
,1,5,100,0.7076,0.0293,0.7167,0.0278,0.7076,0.0293,0.7093,0.0301,3,0.1368
10,1,5,100,0.7048,0.0227,0.7161,0.0185,0.7048,0.0227,0.7077,0.0217,4,0.1487
,1,5,200,0.7033,0.0228,0.7102,0.018,0.7033,0.0228,0.704,0.023,5,0.2839
10,2,2,100,0.6961,0.0247,0.7111,0.02,0.6961,0.0247,0.7001,0.0248,6,0.1341
,2,2,100,0.6976,0.0235,0.7085,0.0218,0.6976,0.0235,0.6999,0.0247,7,0.1364
10,1,5,200,0.6948,0.0209,0.7056,0.021,0.6948,0.0209,0.6976,0.0217,8,0.288
,2,5,200,0.6933,0.0286,0.7081,0.0269,0.6933,0.0286,0.6965,0.0302,9,0.2582
10,2,5,200,0.6919,0.0268,0.7065,0.0208,0.6919,0.0268,0.6957,0.0277,10,0.2805
,2,5,100,0.6905,0.0231,0.7035,0.0218,0.6905,0.0231,0.6938,0.0241,11,0.1336
10,2,2,200,0.689,0.0244,0.7042,0.0196,0.689,0.0244,0.693,0.0245,12,0.2718
,1,2,200,0.699,0.035,0.6926,0.0368,0.699,0.035,0.6922,0.0376,13,0.2893
,1,2,100,0.6976,0.0328,0.6908,0.0329,0.6976,0.0328,0.6921,0.0338,14,0.1584
10,2,5,100,0.6876,0.0215,0.7021,0.0199,0.6876,0.0215,0.6919,0.0222,15,0.137
,2,2,200,0.6847,0.0263,0.6986,0.0209,0.6847,0.0263,0.6872,0.0264,16,0.2661
