param_svm__C,param_svm__gamma,param_svm__kernel,CV_Accuracy,CV_Accuracy_std,CV_Precision,CV_Precision_std,CV_Recall,CV_Recall_std,CV_F1_weighted,CV_F1_weighted_std,Rank,Fit_Time_sec
10.0,0.1,rbf,0.6419,0.0408,0.6791,0.037,0.6419,0.0408,0.6539,0.0398,1,0.014
10.0,scale,rbf,0.6333,0.0384,0.6732,0.0378,0.6333,0.0384,0.6463,0.0384,2,0.0148
10.0,0.1,poly,0.6305,0.0262,0.664,0.0192,0.6305,0.0262,0.641,0.0246,3,0.0228
1.0,0.1,rbf,0.6305,0.0381,0.6609,0.0298,0.6305,0.0381,0.6389,0.0348,4,0.0148
1.0,scale,rbf,0.6248,0.0413,0.6531,0.0419,0.6248,0.0413,0.6314,0.0409,5,0.0128
10.0,scale,poly,0.612,0.045,0.6497,0.0378,0.612,0.045,0.6236,0.0429,6,0.0171
1.0,0.1,poly,0.5934,0.0532,0.6396,0.0411,0.5934,0.0532,0.6075,0.0492,7,0.0136
1.0,scale,poly,0.5792,0.0565,0.6252,0.0488,0.5792,0.0565,0.591,0.0531,8,0.0125
0.1,0.1,rbf,0.6263,0.0243,0.6,0.028,0.6263,0.0243,0.5876,0.0099,9,0.0147
0.1,scale,rbf,0.6291,0.0258,0.6245,0.0712,0.6291,0.0258,0.5808,0.0211,10,0.0145
0.1,0.1,poly,0.562,0.0536,0.6079,0.0385,0.562,0.0536,0.5705,0.0473,11,0.0125
1.0,0.1,linear,0.5762,0.0646,0.5738,0.025,0.5762,0.0646,0.5574,0.0474,12,0.0182
1.0,scale,linear,0.5762,0.0646,0.5738,0.025,0.5762,0.0646,0.5574,0.0474,12,0.0178
10.0,scale,linear,0.5762,0.0666,0.5734,0.0283,0.5762,0.0666,0.5571,0.049,14,0.0658
10.0,0.1,linear,0.5762,0.0666,0.5734,0.0283,0.5762,0.0666,0.5571,0.049,14,0.064
0.1,scale,linear,0.5748,0.0691,0.5672,0.0234,0.5748,0.0691,0.553,0.0523,16,0.0131
0.1,0.1,linear,0.5748,0.0691,0.5672,0.0234,0.5748,0.0691,0.553,0.0523,16,0.0121
0.1,scale,poly,0.4649,0.0588,0.5832,0.0483,0.4649,0.0588,0.47,0.0606,18,0.0131
