Model,Kelas,Precision,Recall,F1
RF S1,Rendah,0.8444444444444444,0.8172043010752689,0.8306010928961749
RF S1,Sedang,0.5428571428571428,0.4634146341463415,0.5
RF S1,Tinggi,0.6666666666666666,0.8095238095238095,0.7311827956989247
SVM S1,Rendah,0.8,0.7311827956989247,0.7640449438202247
SVM S1,Sedang,0.42105263157894735,0.3902439024390244,0.4050632911392405
SVM S1,Tinggi,0.5849056603773585,0.7380952380952381,0.6526315789473685
RF S2,Rendah,0.7843137254901961,0.6557377049180327,0.7142857142857143
RF S2,Sedang,0.6,0.6164383561643836,0.6081081081081081
RF S2,Tinggi,0.54,0.6428571428571429,0.5869565217391305
SVM S2,Rendah,0.7358490566037735,0.639344262295082,0.6842105263157895
SVM S2,Sedang,0.609375,0.5342465753424658,0.5693430656934306
SVM S2,Tinggi,0.4745762711864407,0.6666666666666666,0.5544554455445545
