Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Selasa,7,10,675,115,5,1,796,0
Selasa,8,10,572,137,9,2,720,1
Selasa,8,20,400,143,12,0,555,1
Selasa,15,10,672,255,11,11,949,0
Selasa,15,20,613,269,9,5,896,0
Selasa,15,30,118,233,5,7,363,0
Selasa,15,40,165,265,9,6,445,0
Selasa,15,50,267,309,9,5,590,0
Selasa,15,60,399,251,3,10,663,0
Selasa,16,10,552,236,10,9,807,0
Selasa,16,20,279,288,4,5,576,0
Selasa,17,20,284,217,11,2,514,7
Selasa,17,30,382,276,4,4,666,10
Selasa,17,40,162,266,2,1,431,9
Selasa,17,50,78,273,2,0,353,9
Selasa,17,60,39,218,3,0,260,7
Selasa,18,10,30,110,0,0,140,4
Selasa,18,20,12,68,0,0,80,2
Selasa,18,30,18,75,2,0,95,3
Selasa,18,40,19,86,0,0,105,5
Selasa,18,50,12,96,1,0,109,5
Selasa,18,60,19,99,2,0,120,5
Selasa,19,10,17,63,1,0,81,4
Selasa,19,20,17,88,2,0,107,6
Selasa,19,30,19,102,0,0,121,6
Selasa,19,40,20,74,1,0,95,4
Selasa,19,50,21,107,3,0,131,5
