Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Rabu,6,10,311,70,6,3,390,0
Rabu,6,20,342,75,2,3,422,0
Rabu,6,30,362,100,2,1,465,0
Rabu,6,40,366,90,8,3,467,0
Rabu,6,50,337,102,6,1,446,0
Rabu,6,60,287,101,1,1,390,0
Rabu,7,10,290,100,6,1,397,0
Rabu,7,20,216,115,7,1,339,0
Rabu,7,30,353,95,7,1,456,1
Rabu,7,40,302,108,9,2,421,0
Rabu,7,50,359,118,3,1,481,2
Rabu,7,60,324,124,4,2,454,0
Rabu,8,10,364,103,9,4,480,1
Rabu,8,20,370,145,8,1,524,2
Rabu,8,30,399,138,10,1,548,1
Rabu,8,40,417,133,6,0,556,1
Rabu,8,50,408,119,6,3,536,0
Rabu,8,60,424,172,8,7,611,3
Rabu,15,10,385,184,7,3,579,0
Rabu,15,20,338,267,16,5,626,0
Rabu,15,30,231,237,10,6,484,0
Rabu,15,40,147,268,12,2,429,0
Rabu,15,50,139,221,2,1,363,0
Rabu,15,60,311,247,7,7,572,0
Rabu,16,10,435,265,6,2,708,0
Rabu,16,20,387,243,5,1,636,0
Rabu,16,30,489,213,7,7,716,0
Rabu,16,40,503,243,2,5,753,0
Rabu,16,50,456,271,5,2,734,1
Rabu,16,60,412,231,1,3,647,0
Rabu,17,10,393,209,3,4,609,0
Rabu,17,20,240,230,7,0,477,6
Rabu,17,30,282,252,7,1,542,5
Rabu,17,40,118,173,2,0,293,4
Rabu,17,50,69,183,0,0,252,4
Rabu,17,60,34,112,0,0,146,3
Rabu,18,10,26,105,1,0,132,1
Rabu,18,20,33,89,2,0,124,4
Rabu,18,30,29,87,1,0,117,3
Rabu,18,40,24,95,1,0,120,4
Rabu,18,50,12,75,1,0,88,6
Rabu,18,60,11,86,4,0,101,4
Rabu,19,10,13,93,0,0,106,5
Rabu,19,20,12,107,0,0,119,7
Rabu,19,30,21,94,1,0,116,6
Rabu,19,40,22,106,1,0,129,3
Rabu,19,50,28,85,0,0,113,5
Rabu,19,60,26,121,1,0,148,7
