Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Jumat,6,10,167,31,3,0,201,0
Jumat,6,20,194,23,1,1,219,0
Jumat,6,30,189,35,3,1,228,0
Jumat,6,40,217,49,2,2,270,0
Jumat,6,50,156,57,4,0,217,0
Jumat,6,60,211,48,4,1,264,0
Jumat,7,10,247,92,4,2,345,0
Jumat,7,20,284,56,7,0,347,0
Jumat,7,30,213,53,3,4,273,0
Jumat,7,40,208,59,8,0,275,0
Jumat,7,50,264,49,6,3,322,0
Jumat,7,60,256,64,10,3,333,0
Jumat,8,10,279,65,6,2,352,0
Jumat,8,20,331,70,5,4,410,0
Jumat,8,30,328,75,4,4,411,0
Jumat,8,40,328,83,3,0,414,0
Jumat,8,50,267,88,3,2,360,0
Jumat,8,60,305,80,4,0,389,0
Jumat,15,10,333,150,6,0,489,0
Jumat,15,20,360,150,6,2,518,0
Jumat,15,30,361,176,4,4,545,0
Jumat,15,40,442,188,8,2,640,0
Jumat,15,50,402,170,2,3,577,0
Jumat,15,60,380,158,11,1,550,0
Jumat,16,10,415,151,11,1,578,0
Jumat,16,20,483,202,6,3,694,0
Jumat,16,30,385,147,4,3,539,0
Jumat,16,40,477,150,5,1,633,0
Jumat,16,50,437,164,8,2,611,0
Jumat,16,60,425,208,2,1,636,0
Jumat,17,10,324,176,9,2,511,0
Jumat,17,20,356,189,6,1,552,2
Jumat,17,30,234,104,3,1,342,0
Jumat,17,40,121,142,4,0,267,1
Jumat,17,50,33,87,1,0,121,1
Jumat,17,60,11,43,0,0,54,0
Jumat,18,10,10,57,0,0,67,1
Jumat,18,20,23,46,1,0,70,0
Jumat,18,30,14,51,0,0,65,0
Jumat,18,40,14,48,0,0,62,0
Jumat,18,50,21,55,0,0,76,1
Jumat,18,60,13,68,0,1,82,0
Jumat,19,10,21,74,1,0,96,3
Jumat,19,20,27,72,1,0,100,2
Jumat,19,30,19,67,0,0,86,4
Jumat,19,40,18,72,0,0,90,3
Jumat,19,50,24,94,0,0,118,1
Jumat,19,60,21,96,0,0,117,2
