Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Sabtu,6,10,68,31,3,0,102,0
Sabtu,6,20,98,22,0,0,120,0
Sabtu,6,30,103,17,3,0,123,0
Sabtu,6,40,99,18,0,0,117,0
Sabtu,6,50,124,35,2,1,162,0
Sabtu,6,60,138,33,2,2,175,0
Sabtu,7,10,186,40,0,1,227,0
Sabtu,7,20,204,47,4,0,255,0
Sabtu,7,50,214,75,4,0,293,0
Sabtu,7,60,283,88,5,0,376,0
Sabtu,8,10,268,88,4,1,361,0
Sabtu,8,20,389,86,6,1,482,0
Sabtu,8,30,405,110,11,0,526,1
Sabtu,8,40,435,147,8,1,591,1
Sabtu,8,50,444,129,2,0,575,2
Sabtu,8,60,487,144,3,1,635,2
Sabtu,15,10,412,210,7,0,629,0
Sabtu,15,20,388,219,7,1,615,0
Sabtu,15,30,388,189,6,0,583,0
Sabtu,15,40,420,179,4,1,604,0
Sabtu,15,50,526,205,13,0,744,0
Sabtu,15,60,424,205,5,2,636,0
Sabtu,16,10,401,210,8,2,621,0
Sabtu,16,20,426,207,9,0,642,0
Sabtu,16,30,469,236,4,1,710,0
Sabtu,16,40,404,186,8,1,599,0
Sabtu,16,50,387,216,3,0,606,0
Sabtu,16,60,463,230,8,2,703,0
Sabtu,17,10,342,189,6,0,537,0
Sabtu,17,20,316,233,8,0,557,5
Sabtu,17,30,274,194,5,0,473,1
Sabtu,17,40,139,177,1,2,319,2
Sabtu,17,50,25,147,0,0,172,2
Sabtu,17,60,13,57,0,0,70,2
Sabtu,18,10,14,61,1,0,76,0
Sabtu,18,20,21,61,0,0,82,1
Sabtu,18,30,15,56,0,0,71,1
Sabtu,18,40,20,48,1,0,69,1
Sabtu,18,50,20,88,1,0,109,5
Sabtu,18,60,31,69,0,0,100,4
Sabtu,19,10,11,70,1,0,82,3
Sabtu,19,20,15,66,1,0,82,4
Sabtu,19,30,20,66,0,0,86,3
Sabtu,19,40,20,67,0,0,87,2
Sabtu,19,50,22,69,1,0,92,3
Sabtu,19,60,30,91,2,0,123,4
