Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Minggu,6,10,203,54,3,3,263,0
Minggu,6,20,312,52,2,2,368,0
Minggu,6,30,354,46,2,1,403,0
Minggu,6,40,307,71,5,2,385,0
Minggu,6,50,294,68,6,1,369,0
Minggu,6,60,305,60,2,4,371,0
Minggu,7,10,300,58,3,0,361,0
Minggu,7,20,351,91,3,0,445,0
Minggu,7,30,366,73,8,0,447,0
Minggu,7,40,263,77,3,1,344,0
Minggu,7,50,263,81,3,2,349,0
Minggu,7,60,268,90,3,1,362,0
Minggu,8,10,285,103,5,1,394,0
Minggu,8,20,415,75,5,2,497,0
Minggu,8,30,406,124,3,2,535,0
Minggu,8,40,469,104,8,0,581,0
Minggu,8,50,435,96,4,1,536,0
Minggu,8,60,455,120,7,0,582,0
Minggu,15,10,336,166,8,1,511,1
Minggu,15,20,426,158,7,1,592,2
Minggu,15,30,413,201,5,1,620,3
Minggu,15,40,299,172,7,2,480,2
Minggu,15,50,195,173,2,3,373,3
Minggu,15,60,54,191,2,0,247,4
Minggu,16,10,104,181,4,1,290,3
Minggu,16,20,318,163,2,1,484,2
Minggu,16,30,380,156,1,0,537,3
Minggu,16,40,370,187,3,2,562,4
Minggu,16,50,129,193,5,3,330,4
Minggu,16,60,20,132,1,0,153,3
Minggu,17,10,33,179,4,1,217,4
Minggu,17,20,75,155,4,1,235,0
Minggu,17,30,44,156,5,0,205,2
Minggu,17,40,18,133,1,0,152,2
Minggu,17,50,11,113,0,0,124,3
Minggu,17,60,12,60,0,0,72,1
Minggu,18,10,11,71,0,0,82,1
Minggu,18,20,5,72,1,0,78,2
Minggu,18,30,11,68,1,0,80,1
Minggu,18,40,14,76,1,0,91,0
Minggu,18,50,6,81,1,0,88,0
Minggu,18,60,3,74,1,0,78,3
Minggu,19,10,12,80,0,0,92,1
Minggu,19,20,3,62,0,0,65,3
Minggu,19,30,7,81,2,0,90,1
Minggu,19,40,11,80,0,0,91,1
Minggu,19,50,8,91,0,0,99,2
