Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Senin,6,10,172,56,4,0,232,0
Senin,6,20,243,46,1,0,290,0
Senin,6,30,271,59,6,0,336,0
Senin,6,40,240,54,4,2,300,0
Senin,6,50,196,52,3,2,253,0
Senin,6,60,234,62,5,1,302,0
Senin,7,10,212,48,5,0,265,0
Senin,7,20,201,66,2,0,269,0
Senin,7,30,221,74,5,0,300,0
Senin,7,40,158,89,4,1,252,0
Senin,7,50,211,103,4,1,319,0
Senin,7,60,236,88,3,0,327,0
Senin,8,10,299,92,8,0,399,0
Senin,8,20,349,97,3,0,449,0
Senin,8,30,381,128,8,1,518,0
Senin,8,40,414,132,10,0,556,1
Senin,8,50,431,116,6,1,554,2
Senin,8,60,446,161,6,2,615,2
Senin,15,10,332,196,12,0,540,0
Senin,15,20,417,209,9,1,636,0
Senin,15,30,435,208,5,1,649,0
Senin,15,40,428,172,6,1,607,0
Senin,15,50,488,203,5,1,697,0
Senin,15,60,468,226,3,1,698,0
Senin,16,10,478,166,9,2,655,0
Senin,16,20,534,205,7,1,747,0
Senin,16,30,570,197,8,0,775,0
Senin,16,40,515,218,2,3,738,0
Senin,16,50,408,188,3,1,600,0
Senin,16,60,514,173,6,0,693,0
Senin,17,10,338,236,12,2,588,1
Senin,17,20,357,208,4,0,569,1
Senin,17,30,290,195,1,2,488,1
Senin,17,40,164,165,4,0,333,1
Senin,17,50,38,149,1,0,188,0
Senin,17,60,13,77,0,0,90,0
Senin,18,10,16,59,0,0,75,1
Senin,18,20,30,79,1,0,110,0
Senin,18,30,13,55,0,0,68,0
Senin,18,40,28,87,1,0,116,0
Senin,18,50,14,53,0,0,67,0
Senin,18,60,17,81,0,0,98,1
Senin,19,10,17,82,1,0,100,1
Senin,19,20,13,77,0,0,90,2
Senin,19,30,18,78,0,0,96,0
Senin,19,40,17,70,1,0,88,0
Senin,19,50,8,63,0,0,71,0
Senin,19,60,22,105,1,0,128,0
