Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Kamis,6,10,291,75,3,2,371,0
Kamis,6,20,456,71,8,1,536,0
Kamis,6,30,495,87,3,2,587,0
Kamis,6,40,459,105,8,1,573,0
Kamis,6,60,658,107,11,1,777,0
Kamis,7,10,654,119,5,2,780,0
Kamis,7,30,839,168,8,2,1017,0
Kamis,7,40,668,113,10,2,793,0
Kamis,7,50,704,129,7,1,841,0
Kamis,7,60,705,148,8,3,864,0
Kamis,8,10,528,142,5,0,675,0
Kamis,8,20,498,146,6,1,651,0
Kamis,8,30,521,128,7,6,662,0
Kamis,8,40,545,161,7,4,717,0
Kamis,8,50,525,150,10,4,689,0
Kamis,8,60,548,154,8,3,713,0
Kamis,15,10,525,218,17,0,760,0
Kamis,15,20,494,226,7,6,733,0
Kamis,15,30,670,232,13,4,919,0
Kamis,15,40,679,245,12,5,941,0
Kamis,15,50,704,241,5,9,959,0
Kamis,15,60,619,222,10,4,855,0
Kamis,16,10,715,243,8,10,976,0
Kamis,16,20,752,251,3,3,1009,0
Kamis,16,30,828,227,6,4,1065,0
Kamis,16,40,800,257,5,5,1067,0
Kamis,16,50,875,275,7,6,1163,0
Kamis,16,60,850,228,7,3,1088,0
Kamis,17,10,570,217,4,5,796,2
Kamis,17,20,527,268,5,3,803,2
Kamis,17,30,147,218,4,1,370,4
Kamis,17,40,50,203,0,1,254,4
Kamis,17,50,43,156,1,0,200,3
Kamis,17,60,44,136,0,0,180,2
Kamis,18,10,51,145,2,0,198,0
Kamis,18,20,31,114,0,0,145,2
Kamis,18,30,20,90,2,0,112,1
Kamis,18,40,17,69,0,0,86,0
Kamis,18,50,15,99,0,0,114,2
Kamis,18,60,28,94,0,0,122,2
Kamis,19,10,13,68,1,0,82,3
Kamis,19,20,28,68,2,0,98,0
Kamis,19,30,26,83,2,0,111,1
Kamis,19,40,17,62,0,0,79,0
Kamis,19,50,19,86,0,0,105,0
Kamis,19,60,24,69,1,0,94,1
